5 labeler yeshwant
5 label_date Mon Jul  1 14:01:29 PDT 1991
5 ALL FILES DISCARDED
5 nlang comments BN  
5 nlang missing nothing
5 nlang duration_sec 0.6
5 nlang dc_offset 42
5 nlang min_samp -15534
5 nlang max_samp 12526
5 nlang min_power10 15.2
5 nlang max_power90 69.7
5 clang comments BN  
5 clang missing nothing
5 clang duration_sec 0.6
5 clang dc_offset 42
5 clang min_samp -14102
5 clang max_samp 8654
5 clang min_power10 29.2
5 clang max_power90 69.7
5 dowk missing nothing
5 dowk duration_sec 6.8
5 dowk dc_offset 42
5 dowk min_samp -12814
5 dowk max_samp 8638
5 dowk min_power10 17.1
5 dowk max_power90 66.7
5 nums missing nothing
5 nums duration_sec 12.7
5 nums dc_offset 42
5 nums min_samp -11194
5 nums max_samp 6558
5 nums min_power10 16.4
5 nums max_power90 63.1
5 htl comments BN  
5 htl missing nothing
5 htl duration_sec 6.1
5 htl dc_offset 42
5 htl min_samp -10550
5 htl max_samp 6214
5 htl min_power10 16.9
5 htl max_power90 65.7
5 htc comments BN  
5 htc missing nothing
5 htc duration_sec 11.4
5 htc dc_offset 42
5 htc min_samp -14746
5 htc max_samp 8878
5 htc min_power10 17.4
5 htc max_power90 67.0
5 room comments BN  
5 room missing nothing
5 room duration_sec 14.7
5 room dc_offset 42
5 room min_samp -15674
5 room max_samp 7858
5 room min_power10 19.3
5 room max_power90 67.0
5 meal comments BN  
5 meal missing nothing
5 meal duration_sec 10.5
5 meal dc_offset 42
5 meal min_samp -12566
5 meal max_samp 6010
5 meal min_power10 16.8
5 meal max_power90 64.8
5 story-bt comments BN RS SS CE 
5 story-bt missing CS
5 story-bt duration_sec 48.4
5 story-bt dc_offset 42
5 story-bt min_samp -13350
5 story-bt max_samp 7490
5 story-bt min_power10 22.5
5 story-bt max_power90 64.7
5 story-at comments BN  
5 story-at missing nothing
5 story-at duration_sec 1.0
5 story-at dc_offset 42
5 story-at min_samp -8302
5 story-at max_samp 4314
5 story-at min_power10 26.7
5 story-at max_power90 63.7
5 gender male
5 age adult
5 connection average
5 intelligibility ok
