47 labeler khoward
47 label_date Fri Oct 18 21:21:40 PDT 1991
47 ALL FILES DISCARDED
47 nlang missing nothing
47 nlang duration_sec 0.8
47 nlang dc_offset 43
47 nlang min_samp -6327
47 nlang max_samp 7725
47 nlang min_power10 16.9
47 nlang max_power90 64.8
47 clang missing nothing
47 clang duration_sec 0.8
47 clang dc_offset 43
47 clang min_samp -6095
47 clang max_samp 6593
47 clang min_power10 18.2
47 clang max_power90 63.6
47 dowk missing nothing
47 dowk duration_sec 4.2
47 dowk dc_offset 43
47 dowk min_samp -7551
47 dowk max_samp 7853
47 dowk min_power10 20.9
47 dowk max_power90 62.9
47 nums comments CB  
47 nums missing 0
47 nums duration_sec 4.8
47 nums dc_offset 43
47 nums min_samp -4479
47 nums max_samp 5981
47 nums min_power10 19.4
47 nums max_power90 61.8
47 htl comments CE  
47 htl missing CS
47 htl duration_sec 9.0
47 htl dc_offset 43
47 htl min_samp -5583
47 htl max_samp 6161
47 htl min_power10 21.6
47 htl max_power90 61.1
47 htc comments CE  
47 htc missing CS
47 htc duration_sec 8.6
47 htc dc_offset 43
47 htc min_samp -5415
47 htc max_samp 5869
47 htc min_power10 20.2
47 htc max_power90 60.3
47 room missing nothing
47 room duration_sec 11.0
47 room dc_offset 43
47 room min_samp -7351
47 room max_samp 7069
47 room min_power10 20.6
47 room max_power90 59.6
47 meal comments BN CB CE  
47 meal missing CS
47 meal duration_sec 7.4
47 meal dc_offset 43
47 meal min_samp -8075
47 meal max_samp 7165
47 meal min_power10 18.7
47 meal max_power90 61.9
47 story-bt comments SS  
47 story-bt missing nothing
47 story-bt duration_sec 48.6
47 story-bt dc_offset 43
47 story-bt min_samp -7323
47 story-bt max_samp 6445
47 story-bt min_power10 21.4
47 story-bt max_power90 59.4
47 story-at comments CE SS  
47 story-at missing CS
47 story-at duration_sec 6.8
47 story-at dc_offset 43
47 story-at min_samp -4771
47 story-at max_samp 4221
47 story-at min_power10 19.5
47 story-at max_power90 55.3
47 gender male
47 age adult
47 connection average
47 intelligibility ok
