126 labeler ames
126 label_date Fri Mar 13 09:04:17 PST 1992
126 ALL FILES DISCARDED
126 nlang comments EN  
126 nlang missing nothing
126 nlang duration_sec 1.3
126 nlang dc_offset 42
126 nlang min_samp -4394
126 nlang max_samp 4294
126 nlang min_power10 21.4
126 nlang max_power90 60.6
126 clang comments EN  
126 clang missing nothing
126 clang duration_sec 1.4
126 clang dc_offset 42
126 clang min_samp -4262
126 clang max_samp 4718
126 clang min_power10 22.4
126 clang max_power90 58.5
126 dowk comments EN  
126 dowk missing nothing
126 dowk duration_sec 4.4
126 dowk dc_offset 42
126 dowk min_samp -5994
126 dowk max_samp 6318
126 dowk min_power10 23.5
126 dowk max_power90 61.9
126 nums comments EN  
126 nums missing nothing
126 nums duration_sec 4.6
126 nums dc_offset 42
126 nums min_samp -4978
126 nums max_samp 5034
126 nums min_power10 21.2
126 nums max_power90 56.8
126 htl comments EN  
126 htl missing nothing
126 htl duration_sec 2.6
126 htl dc_offset 42
126 htl min_samp -5774
126 htl max_samp 5438
126 htl min_power10 23.3
126 htl max_power90 58.2
126 htc comments EN  
126 htc missing nothing
126 htc duration_sec 7.9
126 htc dc_offset 42
126 htc min_samp -3254
126 htc max_samp 3614
126 htc min_power10 23.1
126 htc max_power90 52.4
126 room comments EN  
126 room missing nothing
126 room duration_sec 5.8
126 room dc_offset 42
126 room min_samp -2730
126 room max_samp 2782
126 room min_power10 21.8
126 room max_power90 50.5
126 meal comments EN SNL  
126 meal missing nothing
126 meal duration_sec 4.4
126 meal dc_offset 42
126 meal min_samp -3678
126 meal max_samp 3202
126 meal min_power10 17.1
126 meal max_power90 50.5
126 story-bt comments CE EN SS  
126 story-bt missing cs
126 story-bt duration_sec 47.9
126 story-bt dc_offset 42
126 story-bt min_samp -3638
126 story-bt max_samp 3834
126 story-bt min_power10 20.1
126 story-bt max_power90 52.1
126 story-at comments CB EN SS ES  
126 story-at missing cs
126 story-at duration_sec 5.6
126 story-at dc_offset 42
126 story-at min_samp -2346
126 story-at max_samp 2278
126 story-at min_power10 20.6
126 story-at max_power90 50.4
126 gender male
126 age adult
126 connection average
126 intelligibility ok
