83 labeler khoward
83 label_date Tue Dec 24 14:04:16 PST 1991
83 nlang missing 
83 nlang duration_sec 1.0
83 nlang dc_offset 42
83 nlang min_samp -4194
83 nlang max_samp 3486
83 nlang min_power10 16.3
83 nlang max_power90 57.2
83 clang missing nothing
83 clang duration_sec 1.1
83 clang dc_offset 42
83 clang min_samp -3190
83 clang max_samp 2610
83 clang min_power10 14.8
83 clang max_power90 50.7
83 dowk comments ES  
83 dowk missing nothing
83 dowk duration_sec 5.3
83 dowk dc_offset 42
83 dowk min_samp -1514
83 dowk max_samp 1306
83 dowk min_power10 17.4
83 dowk max_power90 49.1
83 nums missing nothing
83 nums duration_sec 6.2
83 nums dc_offset 42
83 nums min_samp -3806
83 nums max_samp 3402
83 nums min_power10 15.3
83 nums max_power90 52.1
83 htl missing nothing
83 htl duration_sec 9.5
83 htl dc_offset 42
83 htl min_samp -5582
83 htl max_samp 4694
83 htl min_power10 17.2
83 htl max_power90 58.2
83 htc comments CB  
83 htc missing CS
83 htc duration_sec 8.3
83 htc dc_offset 42
83 htc min_samp -2718
83 htc max_samp 2622
83 htc min_power10 14.7
83 htc max_power90 55.4
83 room missing nothing
83 room duration_sec 9.3
83 room dc_offset 42
83 room min_samp -3226
83 room max_samp 2554
83 room min_power10 15.5
83 room max_power90 54.4
83 meal comments CE
83 meal missing CS
83 meal duration_sec 4.5
83 meal dc_offset 42
83 meal min_samp -3314
83 meal max_samp 2322
83 meal min_power10 15.5
83 meal max_power90 57.2
83 story-bt comments CE SS  
83 story-bt missing CS
83 story-bt duration_sec 41.1
83 story-bt dc_offset 42
83 story-bt min_samp -2234
83 story-bt max_samp 2114
83 story-bt min_power10 15.9
83 story-bt max_power90 51.6
83 story-at comments CB CE SS  
83 story-at missing CS
83 story-at duration_sec 4.3
83 story-at dc_offset 42
83 story-at min_samp -2142
83 story-at max_samp 1506
83 story-at min_power10 16.8
83 story-at max_power90 54.3
83 gender female
83 age adult
83 connection average
83 intelligibility ok
